Noise Events,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,destinos? El que hace mas ruido es el que va a antofa,se requieren los datos de ruido de los puntos de medicion del los aeropuertos del año 2024,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
Jardines del Sur,,,,,,,,,,,,,,,
"terminales (mp2, hay 3 estaciones), la dos es la mas importantes",dia y la hora en la que se registró el evento,nivel maximo de decibeles,,,,,"cuando el viento es mucho , el sensor se bloquea, cuando hay mas viento que 8 metros por segundo.",,,,,,,relacion entre el radar y la aeronave,tipo de aeronave
NMT,TLASmax,LASmax,SEL,Leq,LAZ,EPNL,Temperature [°C],A/D,Runway,Flight,Airline,Airline (Name),From/To,Callsign,Aircraft Type
,,,,,,,,,,,,,,,
MP02,21/01/2024 5:18:57,70.7,81.6,67.4,72.1,84,15.2,Departure,17L,SKU270,SKU,Sky Airline,SCFA,SKU270,A20N
MP02,21/01/2024 5:21:28,73.7,83.9,69.8,73.5,86.7,15.2,Departure,17L,SKU320,SKU,Sky Airline,SCDA,SKU320,A21N
MP02,21/01/2024 5:23:07,81.7,90.4,76.3,79.3,92.8,15.2,Departure,17L,LAN776,LAN,LAN Airlines,SBGL,LAN776,A320
MP02,21/01/2024 5:25:48,74.6,85.2,70.4,75.2,87.8,15.2,Departure,17L,JAT760,JAT,JAT Airways,SUMU,JAT760,A320
MP02,21/01/2024 5:28:10,76.2,86.9,72,76.5,90.1,15.1,Departure,17L,SKU620,SKU,Sky Airline,SBGL,SKU620,A320
MP02,21/01/2024 5:30:21,76.3,85,71.4,74.8,86.1,15.1,Departure,17L,JAT790,JAT,JAT Airways,SKBO,JAT790,A20N
MP02,21/01/2024 5:37:24,75.6,83.9,70.7,73.7,85,15.1,Departure,17L,JAT501,JAT,JAT Airways,SCIE,JAT501,A20N
MP02,21/01/2024 5:40:35,75.1,85.3,70.8,75.2,86.4,15.1,Departure,17L,CCAOA,CCA,Air China,SCNT,CCAOA,G150
MP02,21/01/2024 5:44:44,80.6,89,74.2,78.4,90.7,15,Departure,17L,LXP251,LXP,,SCNT,LXP251,A320
MP02,21/01/2024 5:49:00,80,88.4,74.3,78.7,89.7,15,Departure,17L,LAN134,LAN,LAN Airlines,SCFA,LAN134,A321
MP02,21/01/2024 5:51:41,72.5,81.8,69.1,71.5,83.1,15,Departure,17L,JAT032,JAT,JAT Airways,SCCF,JAT032,A20N
MP02,21/01/2024 5:53:25,76.2,86.5,71.9,76.9,88.7,15,Departure,17L,JAT750,JAT,JAT Airways,SBGL,JAT750,A320
MP02,21/01/2024 5:56:20,74.4,83.7,70,73.7,84.9,14.9,Departure,17L,LPE2370,LPE,LAN Peru,SPJC,LPE2370,A320
MP02,21/01/2024 5:58:50,77.4,87.2,72.3,77.4,88.6,14.9,Departure,17L,LAN890,LAN,LAN Airlines,SLLP,LAN890,A320
MP02,21/01/2024 6:02:41,78.7,89.1,74.6,78.2,90.6,14.9,Departure,17L,LAN079,LAN,LAN Airlines,SCTE,LAN079,A320
MP02,21/01/2024 6:05:47,79.8,89.3,73.8,79,91.3,14.9,Departure,17L,CMP396,CMP,Copa Airlines,MPTO,CMP396,B738
MP02,21/01/2024 6:53:15,66.1,74,63.4,65.9,73.8,14.6,Departure,17R,LXP940,LXP,,SCAR,LXP940,A320
MP02,21/01/2024 8:27:26,65.1,72.5,61.7,64.7,72.8,17.1,Departure,17R,LAN774,LAN,LAN Airlines,SBGL,LAN774,A320
MP02,21/01/2024 8:29:04,66.2,78.4,63.9,70.9,79,17.4,Departure,17R,ETR870,ETR,Estelar Latinoamerica,SPJC,ETR870,B733
MP02,21/01/2024 9:27:56,76.9,86.7,72.9,75.8,89.1,22,Departure,17L,LAN622,LAN,LAN Airlines,MMMX,LAN622,B788
MP02,21/01/2024 9:48:05,77,89.2,69.4,81.2,88.1,22.6,Departure,17R,LAN059,LAN,LAN Airlines,SCTE,LAN059,A321
MP02,21/01/2024 10:24:36,66.1,76.5,62.7,69.3,77.1,23.8,Departure,17R,LAN582,LAN,LAN Airlines,MMUN,LAN582,B789
MP02,21/01/2024 10:54:00,73.6,75,68,62.4,77.7,25.3,Departure,17R,LAN434,LAN,LAN Airlines,SAME,LAN434,A320
